date,n_total
2019-12-21,51
2019-12-22,51
2019-12-23,55
2019-12-24,55
2019-12-25,41
2019-12-26,38
2019-12-27,49
2019-12-28,67
2019-12-29,61
2019-12-30,51
2019-12-31,63
2020-01-01,56
2020-01-02,54
2020-01-03,49
2020-01-04,50
2020-01-05,65
2020-01-06,43
2020-01-07,56
2020-01-08,58
2020-01-09,66
2020-01-10,70
2020-01-11,51
2020-01-12,61
2020-01-13,52
2020-01-14,60
2020-01-15,52
2020-01-16,44
2020-01-17,61
2020-01-18,45
2020-01-19,44
2020-01-20,55
2020-01-21,41
2020-01-22,42
2020-01-23,53
2020-01-24,50
2020-01-25,48
2020-01-26,53
2020-01-27,51
2020-01-28,52
2020-01-29,56
2020-01-30,60
2020-01-31,60
2020-02-01,47
2020-02-02,54
2020-02-03,59
2020-02-04,50
2020-02-05,55
2020-02-06,47
2020-02-07,52
2020-02-08,52
2020-02-09,48
2020-02-10,54
2020-02-11,52
2020-02-12,52
2020-02-13,61
2020-02-14,65
2020-02-15,64
2020-02-16,62
2020-02-17,66
2020-02-18,48
2020-02-19,49
2020-02-20,48
2020-02-21,49
2020-02-22,50
2020-02-23,54
2020-02-24,50
2020-02-25,62
2020-02-26,47
2020-02-27,64
2020-02-28,45
2020-02-29,48
2020-03-01,49
2020-03-02,59
2020-03-03,49
2020-03-04,51
2020-03-05,37
2020-03-06,61
2020-03-07,53
2020-03-08,46
2020-03-09,52
2020-03-10,60
2020-03-11,42
2020-03-12,42
2020-03-13,62
2020-03-14,57
2020-03-15,74
2020-03-16,61
2020-03-17,55
2020-03-18,49
2020-03-19,60
2020-03-20,58
2020-03-21,43
2020-03-22,58
2020-03-23,47
2020-03-24,53
2020-03-25,56
2020-03-26,56
2020-03-27,64
2020-03-28,50
2020-03-29,49
2020-03-30,52
2020-03-31,55
2020-04-01,47
2020-04-02,55
2020-04-03,63
2020-04-04,52
2020-04-05,57
2020-04-06,55
2020-04-07,55
2020-04-08,57
2020-04-09,70
2020-04-10,71
2020-04-11,58
2020-04-12,58
2020-04-13,60
2020-04-14,65
2020-04-15,50
2020-04-16,62
2020-04-17,51
2020-04-18,61
2020-04-19,49
2020-04-20,60
2020-04-21,52
2020-04-22,69
2020-04-23,62
2020-04-24,58
2020-04-25,68
2020-04-26,55
2020-04-27,47
2020-04-28,56
2020-04-29,44
2020-04-30,58
2020-05-01,67
2020-05-02,61
2020-05-03,64
2020-05-04,72
2020-05-05,49
2020-05-06,51
2020-05-07,43
2020-05-08,58
2020-05-09,56
2020-05-10,53
2020-05-11,48
2020-05-12,44
2020-05-13,46
2020-05-14,52
2020-05-15,51
2020-05-16,59
2020-05-17,60
2020-05-18,55
2020-05-19,49
2020-05-20,40
2020-05-21,58
2020-05-22,57
2020-05-23,49
2020-05-24,58
2020-05-25,42
2020-05-26,48
2020-05-27,38
2020-05-28,37
2020-05-29,54
2020-05-30,43
2020-05-31,54
2020-06-01,55
2020-06-02,54
2020-06-03,47
2020-06-04,54
2020-06-05,58
2020-06-06,43
2020-06-07,41
2020-06-08,51
2020-06-09,42
2020-06-10,50
2020-06-11,42
2020-06-12,48
2020-06-13,43
2020-06-14,32
2020-06-15,44
2020-06-16,45
2020-06-17,46
2020-06-18,39
2020-06-19,48
2020-06-20,47
2020-06-21,40
2020-06-22,34
2020-06-23,39
2020-06-24,51
2020-06-25,45
2020-06-26,51
2020-06-27,49
2020-06-28,51
2020-06-29,49
2020-06-30,49
2020-07-01,57
2020-07-02,50
2020-07-03,46
2020-07-04,43
2020-07-05,39
2020-07-06,39
2020-07-07,49
2020-07-08,36
2020-07-09,49
2020-07-10,41
2020-07-11,46
2020-07-12,41
2020-07-13,35
2020-07-14,46
2020-07-15,42
2020-07-16,54
2020-07-17,59
2020-07-18,43
2020-07-19,46
2020-07-20,47
2020-07-21,48
2020-07-22,41
2020-07-23,49
2020-07-24,48
2020-07-25,49
2020-07-26,61
2020-07-27,50
2020-07-28,46
2020-07-29,40
2020-07-30,54
2020-07-31,56
2020-08-01,42
2020-08-02,48
2020-08-03,53
2020-08-04,50
2020-08-05,49
2020-08-06,56
2020-08-07,50
2020-08-08,42
2020-08-09,36
2020-08-10,58
2020-08-11,40
2020-08-12,46
2020-08-13,53
2020-08-14,55
2020-08-15,48
2020-08-16,49
2020-08-17,60
2020-08-18,44
2020-08-19,51
2020-08-20,53
2020-08-21,60
2020-08-22,37
2020-08-23,48
2020-08-24,59
2020-08-25,64
2020-08-26,53
2020-08-27,51
2020-08-28,57
2020-08-29,49
2020-08-30,54
2020-08-31,54
2020-09-01,62
2020-09-02,61
2020-09-03,62
2020-09-04,48
2020-09-05,49
2020-09-06,62
2020-09-07,51
2020-09-08,40
2020-09-09,48
2020-09-10,56
2020-09-11,60
2020-09-12,46
2020-09-13,44
2020-09-14,53
2020-09-15,59
2020-09-16,51
2020-09-17,56
2020-09-18,61
2020-09-19,34
2020-09-20,45
2020-09-21,59
2020-09-22,57
2020-09-23,48
2020-09-24,55
2020-09-25,56
2020-09-26,50
2020-09-27,51
2020-09-28,40
2020-09-29,54
2020-09-30,46
2020-10-01,56
2020-10-02,48
2020-10-03,53
2020-10-04,64
2020-10-05,57
2020-10-06,56
2020-10-07,54
2020-10-08,57
2020-10-09,45
2020-10-10,51
2020-10-11,58
2020-10-12,46
2020-10-13,56
2020-10-14,59
2020-10-15,53
2020-10-16,35
2020-10-17,49
2020-10-18,42
2020-10-19,52
2020-10-20,58
2020-10-21,54
2020-10-22,49
2020-10-23,55
2020-10-24,54
2020-10-25,50
2020-10-26,48
2020-10-27,56
2020-10-28,59
2020-10-29,60
2020-10-30,61
2020-10-31,57
2020-11-01,46
2020-11-02,54
2020-11-03,53
2020-11-04,51
2020-11-05,57
2020-11-06,47
2020-11-07,52
2020-11-08,60
2020-11-09,65
2020-11-10,48
2020-11-11,61
2020-11-12,48
2020-11-13,54
2020-11-14,66
2020-11-15,53
2020-11-16,52
2020-11-17,64
2020-11-18,53
2020-11-19,53
2020-11-20,57
2020-11-21,63
2020-11-22,58
2020-11-23,51
2020-11-24,38
2020-11-25,58
2020-11-26,47
2020-11-27,61
2020-11-28,61
2020-11-29,58
2020-11-30,44
2020-12-01,43
2020-12-02,54
2020-12-03,44
2020-12-04,66
2020-12-05,50
2020-12-06,51
2020-12-07,58
2020-12-08,55
2020-12-09,53
2020-12-10,54
2020-12-11,52
2020-12-12,44
2020-12-13,50
2020-12-14,52
2020-12-15,47
2020-12-16,47
2020-12-17,59
2020-12-18,48
2020-12-19,61
2020-12-20,53
2020-12-21,57
2020-12-22,51
2020-12-23,45
2020-12-24,52
2020-12-25,61
2020-12-26,52
2020-12-27,52
2020-12-28,47
2020-12-29,45
2020-12-30,49
2020-12-31,54
2021-01-01,59
2021-01-02,62
2021-01-03,49
2021-01-04,55
2021-01-05,47
2021-01-06,51
2021-01-07,40
2021-01-08,64
2021-01-09,57
2021-01-10,60
2021-01-11,49
2021-01-12,49
2021-01-13,50
2021-01-14,51
2021-01-15,55
2021-01-16,53
2021-01-17,54
2021-01-18,49
2021-01-19,43
2021-01-20,47
2021-01-21,55
2021-01-22,53
2021-01-23,45
2021-01-24,68
2021-01-25,54
2021-01-26,48
2021-01-27,43
2021-01-28,49
2021-01-29,61
2021-01-30,52
2021-01-31,46
2021-02-01,50
2021-02-02,50
2021-02-03,64
2021-02-04,57
2021-02-05,66
2021-02-06,39
2021-02-07,43
2021-02-08,53
2021-02-09,55
2021-02-10,65
2021-02-11,67
2021-02-12,65
2021-02-13,59
2021-02-14,55
2021-02-15,50
2021-02-16,41
2021-02-17,50
2021-02-18,58
2021-02-19,69
2021-02-20,66
2021-02-21,47
2021-02-22,54
2021-02-23,62
2021-02-24,50
2021-02-25,65
2021-02-26,64
2021-02-27,43
2021-02-28,64
2021-03-01,64
2021-03-02,51
2021-03-03,65
2021-03-04,58
2021-03-05,61
2021-03-06,54
2021-03-07,64
2021-03-08,57
2021-03-09,69
2021-03-10,59
2021-03-11,55
2021-03-12,54
2021-03-13,49
2021-03-14,58
2021-03-15,52
2021-03-16,56
2021-03-17,47
2021-03-18,51
2021-03-19,61
2021-03-20,54
2021-03-21,48
2021-03-22,59
2021-03-23,38
2021-03-24,14
2021-03-25,2
2021-03-26,9
2021-03-27,9
2021-03-28,10
2021-03-29,33
2021-03-30,65
2021-03-31,63
2021-04-01,77
2021-04-02,77
2021-04-03,88
2021-04-04,87
2021-04-05,48
2021-04-06,78
2021-04-07,69
2021-04-08,77
2021-04-09,88
2021-04-10,69
2021-04-11,68
2021-04-12,45
2021-04-13,46
2021-04-14,50
2021-04-15,48
2021-04-16,55
2021-04-17,54
2021-04-18,48
2021-04-19,59
2021-04-20,56
2021-04-21,55
2021-04-22,55
2021-04-23,57
2021-04-24,53
2021-04-25,70
2021-04-26,53
2021-04-27,40
2021-04-28,48
2021-04-29,44
2021-04-30,49
2021-05-01,62
2021-05-02,56
2021-05-03,59
2021-05-04,51
2021-05-05,57
2021-05-06,60
2021-05-07,55
2021-05-08,60
2021-05-09,61
2021-05-10,40
2021-05-11,62
2021-05-12,56
2021-05-13,64
2021-05-14,53
2021-05-15,44
2021-05-16,63
2021-05-17,60
2021-05-18,65
2021-05-19,60
2021-05-20,42
2021-05-21,45
2021-05-22,54
2021-05-23,51
2021-05-24,54
2021-05-25,46
2021-05-26,49
2021-05-27,80
2021-05-28,53
2021-05-29,61
2021-05-30,64
2021-05-31,53
2021-06-01,35
2021-06-02,53
2021-06-03,54
2021-06-04,52
2021-06-05,58
2021-06-06,58
2021-06-07,63
2021-06-08,48
2021-06-09,55
2021-06-10,51
2021-06-11,59
2021-06-12,55
2021-06-13,55
2021-06-14,60
2021-06-15,57
2021-06-16,55
2021-06-17,55
2021-06-18,50
2021-06-19,52
2021-06-20,59
2021-06-21,54
2021-06-22,60
2021-06-23,43
2021-06-24,55
2021-06-25,65
2021-06-26,63
2021-06-27,52
2021-06-28,69
2021-06-29,65
2021-06-30,43
2021-07-01,55
2021-07-02,53
2021-07-03,48
2021-07-04,52
2021-07-05,49
2021-07-06,55
2021-07-07,48
2021-07-08,56
2021-07-09,62
2021-07-10,49
2021-07-11,62
2021-07-12,49
2021-07-13,57
2021-07-14,57
2021-07-15,47
2021-07-16,59
2021-07-17,53
2021-07-18,55
2021-07-19,52
2021-07-20,48
2021-07-21,52
2021-07-22,62
2021-07-23,52
2021-07-24,62
2021-07-25,63
2021-07-26,68
2021-07-27,59
2021-07-28,57
2021-07-29,62
2021-07-30,66
2021-07-31,53
2021-08-01,58
2021-08-02,62
2021-08-03,63
2021-08-04,59
2021-08-05,65
2021-08-06,62
2021-08-07,56
2021-08-08,58
2021-08-09,58
2021-08-10,69
2021-08-11,72
2021-08-12,57
2021-08-13,55
2021-08-14,55
2021-08-15,60
2021-08-16,75
2021-08-17,58
2021-08-18,62
2021-08-19,62
2021-08-20,70
2021-08-21,65
2021-08-22,58
2021-08-23,69
2021-08-24,69
2021-08-25,61
2021-08-26,62
2021-08-27,65
2021-08-28,59
2021-08-29,65
2021-08-30,50
2021-08-31,59
2021-09-01,45
2021-09-02,68
2021-09-03,67
2021-09-04,61
2021-09-05,72
2021-09-06,63
2021-09-07,67
2021-09-08,72
2021-09-09,56
2021-09-10,62
2021-09-11,43
2021-09-12,62
2021-09-13,53
2021-09-14,64
2021-09-15,64
2021-09-16,59
2021-09-17,60
2021-09-18,68
2021-09-19,71
2021-09-20,63
2021-09-21,65
2021-09-22,69
2021-09-23,59
2021-09-24,67
2021-09-25,55
2021-09-26,67
2021-09-27,46
2021-09-28,80
2021-09-29,82
2021-09-30,62
2021-10-01,54
2021-10-02,62
2021-10-03,56
2021-10-04,51
2021-10-05,75
2021-10-06,59
2021-10-07,57
2021-10-08,70
2021-10-09,58
2021-10-10,60
2021-10-11,69
2021-10-12,64
2021-10-13,60
2021-10-14,60
2021-10-15,59
2021-10-16,71
2021-10-17,64
2021-10-18,61
2021-10-19,57
2021-10-20,64
2021-10-21,66
2021-10-22,67
2021-10-23,36
2021-10-24,78
2021-10-25,43
2021-10-26,67
2021-10-27,61
2021-10-28,57
2021-10-29,57
2021-10-30,68
2021-10-31,63
2021-11-01,63
2021-11-02,68
2021-11-03,62
2021-11-04,58
2021-11-05,74
2021-11-06,56
2021-11-07,54
2021-11-08,53
2021-11-09,66
2021-11-10,67
2021-11-11,55
2021-11-12,59
2021-11-13,43
2021-11-14,79
2021-11-15,64
2021-11-16,63
2021-11-17,66
2021-11-18,56
2021-11-19,68
2021-11-20,64
2021-11-21,58
2021-11-22,67
2021-11-23,68
2021-11-24,61
2021-11-25,65
2021-11-26,64
2021-11-27,67
2021-11-28,71
2021-11-29,60
2021-11-30,69
2021-12-01,57
2021-12-02,45
2021-12-03,55
2021-12-04,65
2021-12-05,52
2021-12-06,68
2021-12-07,53
2021-12-08,55
2021-12-09,68
2021-12-10,69
2021-12-11,58
2021-12-12,64
2021-12-13,62
2021-12-14,56
2021-12-15,55
2021-12-16,46
2021-12-17,60
2021-12-18,59
2021-12-19,66
2021-12-20,47
2021-12-21,63
2021-12-22,70
2021-12-23,66
2021-12-24,47
2021-12-25,61
2021-12-26,64
2021-12-27,57
2021-12-28,60
2021-12-29,52
2021-12-30,58
2021-12-31,59
2022-01-01,60
2022-01-02,54
2022-01-03,63
2022-01-04,68
2022-01-05,55
2022-01-06,67
2022-01-07,73
2022-01-08,47
2022-01-09,57
2022-01-10,51
2022-01-11,77
2022-01-12,58
2022-01-13,63
2022-01-14,50
2022-01-15,52
2022-01-16,51
2022-01-17,51
2022-01-18,68
2022-01-19,63
2022-01-20,67
2022-01-21,44
2022-01-22,60
2022-01-23,56
2022-01-24,67
2022-01-25,69
2022-01-26,49
2022-01-27,60
2022-01-28,56
2022-01-29,53
2022-01-30,55
2022-01-31,62
2022-02-01,63
2022-02-02,63
2022-02-03,71
2022-02-04,55
2022-02-05,56
2022-02-06,59
2022-02-07,74
2022-02-08,84
2022-02-09,58
2022-02-10,54
2022-02-11,68
2022-02-12,64
2022-02-13,65
2022-02-14,62
2022-02-15,71
2022-02-16,51
2022-02-17,61
2022-02-18,58
2022-02-19,79
2022-02-20,52
2022-02-21,59
2022-02-22,54
2022-02-23,63
2022-02-24,61
2022-02-25,62
2022-02-26,63
2022-02-27,61
2022-02-28,68
2022-03-01,65
2022-03-02,56
2022-03-03,71
2022-03-04,67
2022-03-05,55
2022-03-06,58
2022-03-07,61
2022-03-08,51
2022-03-09,64
2022-03-10,67
2022-03-11,51
2022-03-12,49
2022-03-13,60
2022-03-14,73
2022-03-15,68
2022-03-16,67
2022-03-17,48
2022-03-18,65
2022-03-19,51
2022-03-20,70
2022-03-21,60
2022-03-22,51
2022-03-23,58
2022-03-24,57
2022-03-25,54
2022-03-26,60
2022-03-27,69
2022-03-28,52
2022-03-29,61
2022-03-30,65
2022-03-31,67
2022-04-01,81
2022-04-02,63
2022-04-03,49
2022-04-04,76
2022-04-05,68
2022-04-06,63
2022-04-07,64
2022-04-08,59
2022-04-09,67
2022-04-10,56
2022-04-11,58
2022-04-12,62
2022-04-13,67
2022-04-14,61
2022-04-15,79
2022-04-16,62
2022-04-17,66
2022-04-18,61
2022-04-19,72
2022-04-20,69
2022-04-21,71
2022-04-22,74
2022-04-23,79
2022-04-24,63
2022-04-25,66
2022-04-26,53
2022-04-27,63
2022-04-28,62
2022-04-29,62
2022-04-30,48
2022-05-01,72
2022-05-02,60
2022-05-03,57
2022-05-04,54
2022-05-05,79
2022-05-06,53
2022-05-07,78
2022-05-08,60
2022-05-09,64
2022-05-10,61
2022-05-11,67
2022-05-12,67
2022-05-13,63
2022-05-14,76
2022-05-15,51
2022-05-16,69
2022-05-17,69
2022-05-18,63
2022-05-19,56
2022-05-20,67
2022-05-21,77
2022-05-22,64
2022-05-23,54
2022-05-24,70
2022-05-25,73
2022-05-26,64
2022-05-27,54
2022-05-28,52
2022-05-29,59
2022-05-30,67
2022-05-31,61
2022-06-01,57
2022-06-02,73
2022-06-03,49
2022-06-04,63
2022-06-05,86
2022-06-06,69
2022-06-07,70
2022-06-08,57
2022-06-09,69
2022-06-10,67
2022-06-11,67
2022-06-12,60
2022-06-13,66
2022-06-14,79
2022-06-15,73
2022-06-16,68
2022-06-17,65
2022-06-18,64
2022-06-19,72
2022-06-20,59
2022-06-21,54
2022-06-22,61
2022-06-23,75
2022-06-24,79
2022-06-25,60
2022-06-26,75
2022-06-27,64
2022-06-28,69
2022-06-29,83
2022-06-30,79
2022-07-01,79
2022-07-02,70
2022-07-03,75
2022-07-04,72
2022-07-05,77
2022-07-06,57
2022-07-07,72
2022-07-08,66
2022-07-09,64
2022-07-10,64
2022-07-11,72
2022-07-12,59
2022-07-13,82
2022-07-14,65
2022-07-15,87
2022-07-16,69
2022-07-17,80
2022-07-18,64
2022-07-19,49
2022-07-20,90
2022-07-21,63
2022-07-22,71
2022-07-23,80
2022-07-24,55
2022-07-25,79
2022-07-26,64
2022-07-27,83
2022-07-28,79
2022-07-29,75
2022-07-30,78
2022-07-31,65
2022-08-01,61
2022-08-02,65
2022-08-03,85
2022-08-04,70
2022-08-05,81
2022-08-06,86
2022-08-07,80
2022-08-08,77
2022-08-09,75
2022-08-10,79
2022-08-11,65
2022-08-12,63
2022-08-13,60
2022-08-14,59
2022-08-15,71
2022-08-16,76
2022-08-17,67
2022-08-18,64
2022-08-19,79
2022-08-20,70
2022-08-21,61
2022-08-22,79
2022-08-23,69
2022-08-24,77
2022-08-25,65
2022-08-26,88
2022-08-27,59
2022-08-28,72
2022-08-29,76
2022-08-30,66
2022-08-31,70
2022-09-01,64
2022-09-02,79
2022-09-03,63
2022-09-04,68
2022-09-05,82
2022-09-06,75
2022-09-07,79
2022-09-08,51
2022-09-09,70
2022-09-10,70
2022-09-11,73
2022-09-12,72
2022-09-13,59
2022-09-14,79
2022-09-15,83
2022-09-16,56
2022-09-17,74
2022-09-18,73
2022-09-19,64
2022-09-20,57
2022-09-21,69
2022-09-22,75
2022-09-23,81
2022-09-24,58
2022-09-25,60
2022-09-26,70
2022-09-27,71
2022-09-28,72
2022-09-29,63
2022-09-30,69
2022-10-01,64
2022-10-02,72
2022-10-03,82
2022-10-04,59
2022-10-05,68
2022-10-06,74
2022-10-07,69
2022-10-08,63
2022-10-09,68
2022-10-10,75
2022-10-11,62
2022-10-12,74
2022-10-13,67
2022-10-14,74
2022-10-15,67
2022-10-16,72
2022-10-17,85
2022-10-18,67
2022-10-19,52
2022-10-20,68
2022-10-21,85
2022-10-22,76
2022-10-23,76
2022-10-24,75
2022-10-25,60
2022-10-26,73
2022-10-27,66
2022-10-28,75
2022-10-29,63
2022-10-30,76
2022-10-31,87
2022-11-01,72
2022-11-02,70
2022-11-03,81
2022-11-04,74
2022-11-05,68
2022-11-06,86
2022-11-07,72
2022-11-08,72
2022-11-09,85
2022-11-10,72
2022-11-11,70
2022-11-12,83
2022-11-13,70
2022-11-14,69
2022-11-15,64
2022-11-16,79
2022-11-17,67
2022-11-18,73
2022-11-19,74
2022-11-20,65
2022-11-21,82
2022-11-22,63
2022-11-23,68
2022-11-24,69
2022-11-25,58
2022-11-26,69
2022-11-27,72
2022-11-28,71
2022-11-29,71
2022-11-30,61
2022-12-01,83
2022-12-02,83
2022-12-03,71
2022-12-04,72
2022-12-05,74
2022-12-06,87
2022-12-07,74
2022-12-08,66
2022-12-09,80
2022-12-10,66
2022-12-11,71
2022-12-12,63
2022-12-13,67
2022-12-14,86
2022-12-15,77
2022-12-16,53
2022-12-17,76
2022-12-18,59
2022-12-19,76
2022-12-20,71
2022-12-21,69
2022-12-22,75
2022-12-23,71
2022-12-24,81
2022-12-25,70
2022-12-26,76
2022-12-27,71
2022-12-28,57
2022-12-29,69
2022-12-30,73
2022-12-31,77
2023-01-01,65
2023-01-02,63
2023-01-03,81
2023-01-04,59
2023-01-05,88
2023-01-06,71
2023-01-07,74
2023-01-08,64
2023-01-09,43
2023-01-10,93
2023-01-11,76
2023-01-12,67
2023-01-13,81
2023-01-14,64
2023-01-15,67
2023-01-16,78
2023-01-17,61
2023-01-18,75
2023-01-19,81
2023-01-20,64
2023-01-21,86
2023-01-22,67
2023-01-23,67
2023-01-24,55
2023-01-25,80
2023-01-26,85
2023-01-27,74
2023-01-28,69
2023-01-29,66
2023-01-30,70
2023-01-31,68
2023-02-01,50
2023-02-02,77
2023-02-03,75
2023-02-04,78
2023-02-05,67
2023-02-06,56
2023-02-07,70
2023-02-08,58
2023-02-09,76
2023-02-10,86
2023-02-11,68
2023-02-12,76
2023-02-13,59
2023-02-14,90
2023-02-15,73
2023-02-16,74
2023-02-17,53
2023-02-18,72
2023-02-19,61
2023-02-20,80
2023-02-21,73
2023-02-22,65
2023-02-23,78
2023-02-24,68
2023-02-25,59
2023-02-26,83
2023-02-27,56
2023-02-28,74
2023-03-01,73
2023-03-02,52
2023-03-03,71
2023-03-04,64
2023-03-05,60
2023-03-06,87
2023-03-07,92
2023-03-08,61
2023-03-09,70
2023-03-10,79
2023-03-11,66
2023-03-12,85
2023-03-13,70
2023-03-14,84
2023-03-15,75
2023-03-16,71
2023-03-17,71
2023-03-18,67
2023-03-19,82
2023-03-20,72
2023-03-21,69
2023-03-22,92
2023-03-23,58
2023-03-24,77
2023-03-25,66
2023-03-26,56
2023-03-27,82
2023-03-28,80
2023-03-29,62
2023-03-30,62
2023-03-31,64
2023-04-01,89
2023-04-02,61
2023-04-03,88
